id,x,y,z,qw, qx, qy, qz, padding,
0,-0.649641,-141.356,53.1266,0.963456,-0.167727,0.203718,-0.0460287,0,
1,94.3504,-231.356,24.7405,0.992146,-0.00152085,0.0918269,-0.0849197,0,
2,84.3504,-116.356,25.9234,0.969926,-0.220946,-0.10206,0.00306051,0,
3,109.35,-371.356,48.3239,0.949462,0.205297,-0.0113643,0.237163,0,
4,269.35,-266.356,-27.3121,0.95619,-0.118219,0.239026,0.120797,0,
5,129.35,-446.356,7.42107,0.947845,0.288422,-0.127121,0.0473509,0,
6,199.35,-176.356,8.82008,0.999967,-0.00501501,-0.00633404,-0.00121683,0,
7,249.35,-126.356,19.914,0.977099,-0.207738,0.0411924,-0.0206497,0,
8,269.35,-356.356,-12.9285,0.999776,-0.00101562,-0.0129995,0.0166759,0,
9,324.35,-456.356,-40.7131,0.960165,0.255316,0.00701428,0.113348,0,
10,284.35,-236.356,10.4118,0.990445,0.1301,-0.0276833,0.0364071,0,
11,319.35,-141.356,46.3563,0.96127,-0.12917,0.00398935,-0.243432,0,
12,-5.64964,-266.356,70.0546,0.969314,0.0265204,-0.177108,-0.168401,0,
13,199.35,-396.356,15.0735,0.989175,0.108564,0.0800407,-0.0577859,0,
14,29.3504,-406.356,4.82038,0.966151,0.0816492,-0.189928,0.154316,0,
15,-10.6496,-376.356,-33.1224,0.939024,-0.187964,-0.188738,0.217443,0,
16,79.3504,-366.356,74.319,0.972956,0.107137,0.0935976,0.181985,0,
17,209.35,-161.356,2.73861,0.928201,0.173357,0.170531,0.28162,0,
18,4.35036,-71.3557,47.1342,0.942657,-0.329389,-0.0524089,-0.0123715,0,
19,304.35,-361.356,-66.468,0.959685,-0.182197,0.205643,0.0593326,0,
20,244.35,-126.356,49.9826,0.978068,-0.0912886,-0.0678695,-0.174478,0,
21,44.3504,-456.356,65.2666,0.938737,0.16959,0.238327,-0.182244,0,
22,344.35,-371.356,22.1551,0.956642,0.191543,-0.190627,0.108665,0,
23,349.35,-96.3557,0.614754,0.932459,0.249435,0.217628,-0.144706,0,
24,94.3504,-116.356,38.8165,0.947029,0.210421,-0.172359,0.170734,0,
25,259.35,-426.356,-32.5245,0.986814,0.116553,-0.110471,-0.0202409,0,
26,19.3504,-111.356,-28.1039,0.972319,0.095499,-0.0709248,-0.201109,0,
27,134.35,-426.356,44.8923,0.973295,-0.208773,0.0918635,-0.0259064,0,
28,-15.6496,-411.356,56.7955,0.991423,-0.000760717,-0.0932435,0.091573,0,
29,334.35,-301.356,-1.6248,0.934473,-0.0746461,0.321822,0.132733,0,
30,239.35,-71.3557,52.5181,0.96881,0.0886148,-0.0934716,-0.211704,0,
31,144.35,-471.356,-19.5206,0.923894,0.215515,0.120061,0.292505,0,
32,284.35,-266.356,-42.4214,0.969471,0.181245,-0.146102,0.0770108,0,
33,64.3504,-226.356,3.67758,0.964473,0.146065,0.135604,-0.173405,0,
34,204.35,-391.356,13.2983,1,4.14637e-05,2.68488e-05,-1.29068e-05,0,
35,194.35,-81.3557,-4.81142,0.924489,-0.320201,0.0162388,-0.206225,0,
36,29.3504,-371.356,47.3381,0.991113,0.0629665,-0.0934091,-0.0707433,0,
37,-15.6496,-436.356,-17.7133,0.930699,-0.0331959,-0.362139,-0.0393935,0,
38,334.35,-101.356,-22.9079,0.993042,-0.0028045,0.0934587,-0.0715914,0,
39,314.35,-376.356,-31.7758,0.975223,-0.202947,0.0446097,-0.0759141,0,
40,79.3504,-116.356,-36.204,0.934583,-0.208586,-0.207465,0.200013,0,
41,94.3504,-276.356,8.4326,0.988451,0.00644769,0.126707,-0.0828737,0,
42,169.35,-426.356,-15.5651,0.959284,-0.00611806,-0.0292477,0.280858,0,
43,19.3504,-131.356,-37.3398,0.998978,-0.00941618,0.0420967,-0.0134749,0,
44,159.35,-231.356,-0.66166,0.965981,-0.0776202,-0.142837,0.20113,0,
45,259.35,-171.356,41.0559,0.996174,0.00483311,0.0500447,0.0714789,0,
46,269.35,-411.356,-53.7937,0.98829,-0.080756,0.120873,-0.0463862,0,
47,84.3504,-216.356,-50.6698,0.933456,0.27564,-0.117295,0.197291,0,
48,334.35,-311.356,-57.7696,0.95945,-0.0421608,0.209079,-0.184292,0,
49,74.3504,-371.356,55.4706,0.939157,-0.259882,-0.146794,-0.169993,0,
50,54.3504,-156.356,-35.665,0.937576,-0.317013,0.14168,0.0195095,0,
51,334.35,-476.356,-54.1797,0.931745,0.0276351,0.164312,0.32263,0,
52,49.3504,-106.356,40.1457,0.96261,0.215175,0.139203,0.0877703,0,
53,204.35,-206.356,3.73873,0.970701,0.0253231,0.16074,-0.176809,0,
54,264.35,-246.356,-1.93086,0.999976,0.00484476,-0.00428288,0.00240918,0,
55,99.3504,-296.356,15.1352,0.998611,0.0364012,-0.0367427,0.0100939,0,
56,39.3504,-386.356,14.2405,0.997694,0.0398117,-0.0393358,0.0384072,0,
57,134.35,-176.356,-24.7311,0.969447,0.240407,0.0149652,0.0464093,0,
58,204.35,-431.356,-13.301,0.997984,0.00683126,0.0333418,-0.0535776,0,
59,284.35,-186.356,-45.9756,0.987921,0.0821792,-0.103026,0.0815112,0,
60,224.35,-331.356,-24.3878,0.983626,-0.073741,0.103307,-0.127948,0,
61,24.3504,-251.356,-11.1455,0.952652,-0.0882866,0.110134,0.269314,0,
62,339.35,-71.3557,34.1642,0.927134,-0.129202,-0.16504,-0.310631,0,
63,149.35,-406.356,-11.5961,0.954221,-0.171718,0.195958,0.146886,0,
64,-15.6496,-271.356,-10.9444,0.927578,0.302583,-0.0464115,-0.214215,0,
65,269.35,-326.356,-53.3361,0.977835,0.169894,-0.053091,0.110251,0,
66,254.35,-136.356,-34.9706,0.952332,0.163534,0.252967,0.0482483,0,
67,124.35,-201.356,-41.2044,0.94187,-0.221917,-0.131793,-0.215093,0,
68,229.35,-391.356,-79.1595,0.938678,-0.265961,-0.199704,0.0909198,0,
69,9.35036,-451.356,59.1017,0.999995,0.00201709,0.00129161,-0.00194135,0,
70,79.3504,-131.356,-49.3507,0.981533,-0.106516,0.112684,-0.112024,0,
71,154.35,-341.356,20.5858,0.943301,0.187966,-0.183504,0.202923,0,
72,309.35,-146.356,-33.7444,0.946739,0.173644,-0.130617,-0.237639,0,
73,-5.64964,-86.3557,51.8711,0.973685,-0.21527,-0.0157314,-0.0731404,0,
74,9.35036,-336.356,-22.3382,0.99652,0.00137503,0.0244318,0.079682,0,
75,164.35,-131.356,32.3071,0.970717,0.0581783,-0.113659,-0.203485,0,
76,324.35,-301.356,-63.9809,0.927267,-0.166494,0.0518165,0.331317,0,
77,94.3504,-396.356,28.5559,0.990869,-0.0729858,-0.045178,-0.103976,0,
78,299.35,-386.356,5.51051,0.998368,-0.0349775,-0.0448972,-0.00481184,0,
79,189.35,-96.3557,17.465,0.968018,-0.195545,0.157114,0.00432198,0,
80,34.3504,-171.356,-21.3281,0.931316,-0.0779912,0.355643,0.00920276,0,
81,324.35,-286.356,-11.4048,0.949526,0.290542,0.103443,-0.0573204,0,
82,209.35,-441.356,-54.8566,0.980349,0.0601787,-0.179627,-0.0550335,0,
83,134.35,-286.356,-39.3557,0.998197,-0.0507878,0.0319435,0.00197116,0,
84,299.35,-76.3557,21.9841,0.980321,0.11208,-0.0169909,-0.161615,0,
85,89.3504,-466.356,9.31258,0.98975,0.0958207,-0.0798549,0.0695389,0,
86,294.35,-166.356,-2.08781,0.932342,-0.203666,0.0348423,-0.296723,0,
87,19.3504,-406.356,-4.54596,0.924848,0.220044,0.204575,-0.233209,0,
88,24.3504,-201.356,48.9929,0.980828,-0.0996631,-0.131149,-0.10413,0,
89,309.35,-381.356,-50.1698,0.97445,0.0270565,0.194188,0.10957,0,
90,64.3504,-71.3557,4.46697,0.947197,0.208005,-0.242941,0.0230654,0,
91,324.35,-121.356,36.5496,0.954504,-0.234013,-0.0506833,0.177738,0,
92,334.35,-431.356,-19.0643,0.97526,-0.16616,0.110121,0.0955623,0,
93,194.35,-126.356,46.1787,0.953272,-0.190157,0.175518,-0.155903,0,
94,-20.6496,-91.3557,24.0159,0.992023,-0.106251,-0.021073,-0.0644762,0,
95,169.35,-466.356,-35.206,0.986294,0.0714331,-0.0124281,-0.14821,0,
96,309.35,-111.356,-26.4024,0.930026,0.0599072,0.319908,-0.17065,0,
97,69.3504,-306.356,58.1967,0.973158,-0.12211,0.11728,-0.155879,0,
98,294.35,-171.356,29.5268,0.935162,-0.25694,-0.0678226,0.234209,0,
99,104.35,-361.356,-0.129925,0.954536,-0.0489078,-0.249208,0.156091,0,
